usr,q4_sent,q4_received,q4_access,q4_comments_on_sent,q4_comments_on_received,q4_likes_on_sent,q4_likes_on_received,working_days
AWSUS#nqRo2ZCJAdBzmZi8ZH5NBA==,0,0,279,0,0,0,0,971
AWSUS#l9r/muwqKi1PbIIzjZbroA==,0,0,4,0,0,0,0,1072
AWSUS#jhptkLKQpz8GTEX4irlPuQ==,0,0,259,0,0,0,0,433
AWSUS#Xf0ujMZvRiLVxLfUduFE9A==,0,2,13,0,1,0,5,904
AWSUS#w1mEQxEMxAMEulQznkPb/Q==,0,0,1,0,0,0,0,119
AWSUS#HtxCaG6qsY031EFJV/rJLQ==,13,0,280,0,0,70,0,460
AWSUS#NzEL5UT0rQ9pqfCbJ6ftfA==,0,0,5,0,0,0,0,2754
AWSUS#dZkF/0yrtAVO5UA5sv0aNA==,0,0,0,0,0,0,0,449
AWSUS#NZ4pjFDHK4bOMf3q2vNdmA==,0,0,38,0,0,0,0,4074
AWSUS#M+bQLtXqQVOTzYvIatJq/g==,0,0,33,0,0,0,0,309
AWSUS#xfPEOUnzHirDB2ivVoen8Q==,0,0,0,0,0,0,0,4074
AWSUS#RtlQaY1o1rvmhxzfR9gqUA==,0,0,38,0,0,0,0,1240
AWSUS#z7wWMh2OIREoHiYJp50YjA==,0,0,0,0,0,0,0,3241
AWSUS#UKJfm0PdZ7FvJkRfa4iwqA==,0,0,220,0,0,7,0,556
AWSUS#mMSVzfA+VVkyp2KhMw4xIQ==,0,0,0,0,0,0,0,159
AWSUS#0wawbOTCrMT8LkvucWEkng==,0,0,1,0,0,0,0,3490
AWSUS#/n083784Z3+Ogrys6I8ajw==,0,0,247,0,0,0,0,377
AWSUS#ueDp+zQc0CAc0TDwMrbo/g==,0,0,6,0,0,0,0,3162
AWSUS#xkp0ulPr7kDexgDB1IfJow==,6,0,77,0,0,12,0,846
AWSUS#AAlaTIaHrCrLQ+CgycuBPQ==,3,0,114,3,0,6,0,112
AWSUS#TIVzt7dZejrQjYBlTWxfNg==,0,0,3,0,0,0,0,489
AWSUS#CClCje7ivqx/gOfbqO5D7w==,0,0,4,0,0,0,0,3221
AWSUS#XLbSHveqd9MlLe3ZZMVOVw==,0,0,0,0,0,0,0,846
AWSUS#XU2ie8KUDn9CT9DYqaTnyA==,0,0,3,0,0,0,0,488
AWSUS#WFDz6NyRN429R4ZIDE8fww==,0,0,2,0,0,0,0,316
AWSUS#lHlrUFiS7Eznc6IevKFSyw==,0,0,36,0,3,0,1,4074
AWSUS#uwmpRDXzTi+e79Ha4/Vf+Q==,3,0,4,0,0,0,0,138
AWSUS#FwLBiaEcCKg4UZS62+gv2w==,0,0,4,0,0,0,0,537
AWSUS#NGQapqgAGZitFQHc5rFsMg==,0,0,0,0,0,0,0,3398
AWSUS#9J9VCofDoW7jI45rDd/Ucw==,0,0,0,0,0,0,0,3069
AWSUS#MWTU1+lRH2En90f7LzRLRw==,0,0,3,0,0,0,0,111
AWSUS#2cjFQbVc8ZM+U+NPoyzbSA==,0,0,301,0,0,0,0,4074
AWSUS#MQx5h9+C3X2rSCrMltjhOQ==,0,0,13,0,0,0,0,525
AWSUS#lZTH2glgiLE9YIi0dhmJow==,9,0,26,0,0,54,0,4074
AWSUS#LuNVSU6TpeiXvZ5WxOeaXg==,0,2,44,0,4,0,4,4074
AWSUS#WM5B+0Sl5VVq8vhsMEaniQ==,0,0,77,0,0,0,0,741
AWSUS#uX0cMZvD5VnOmbeeOafwXA==,0,0,0,0,0,0,0,101
AWSUS#Z0n//R0k8NDQHCs6x/ILrg==,0,0,50,0,0,0,0,539
AWSUS#TzNHrRNq4HSQZUQRcQXP9w==,0,0,14,0,0,0,0,993
AWSUS#jQwjOg1FvADtUCLVX02xGQ==,0,0,1,0,0,0,0,4074
AWSUS#+NpL1v4EIJyMTrmHoY5bDA==,7,1,91,14,0,42,1,4074
AWSUS#xDKwieQxSMKH7fAMfW+O8Q==,0,0,0,0,0,0,0,3154
AWSUS#M7znC03XmNsNqGpNIxlQ3w==,0,0,32,0,0,0,0,840
AWSUS#HrQwj+z80YzQio12hILs0g==,0,0,6,0,0,0,0,290
AWSUS#GZYjJCWwslRQLihhOeUWIg==,3,0,40,0,0,3,0,350
AWSUS#4Ljug1zq4hZmeg3FiUz1Ow==,0,0,6,0,0,0,0,7
AWSUS#NAL5lG78efI4dRnDkQfhWA==,0,0,0,0,0,0,0,2913
AWSUS#rOBurTG55O1dzKFwvATtvw==,0,0,22,0,0,0,0,646
AWSUS#jBDgPAfSG247dokQxYUizg==,11,4,61,0,6,17,13,159
AWSUS#WVpUff+asyUujrZeEBBuXQ==,0,0,5,0,0,0,0,4074
AWSUS#HEFpdQ09oP2IE2yrVRvuIQ==,0,0,267,0,0,0,0,322
AWSUS#3ssEZCJulno7UtHetOCuxw==,0,0,1,0,0,0,0,1301
AWSUS#KEPj0LFmobWV1DFB96OrKw==,0,0,14,0,0,0,0,405
AWSUS#WBpcXWkHoSjMoTDXAO7zow==,0,1,66,0,0,0,4,4074
AWSUS#Wbs0emfd2MWgnYB9lUDuMA==,0,0,96,0,0,0,0,742
AWSUS#VLhD1AQI+vEdsFZGyE9h+A==,0,2,4,0,0,0,11,3641
AWSUS#EaG62mc+y4t8wybPQPH+Kw==,0,0,192,0,0,0,0,371
AWSUS#Sl313OnLeCoZj3kZfm7Taw==,15,2,168,9,1,48,4,245
AWSUS#SAwLLgcssb1HJVK931nlTA==,0,0,0,0,0,0,0,2809
AWSUS#i4kGw3wYvvSuVyW0Ut3Hqw==,0,0,47,0,0,0,0,4074
AWSUS#i/wOQwU9yvv/nA4IvaP4eg==,29,0,22,0,0,98,0,3811
AWSUS#+YkEnezWWCl6DbbShzKFiA==,0,0,49,0,0,0,0,454
AWSUS#OCrC2V/dXUIe9Tps8BFIeQ==,0,0,4,0,0,0,0,3337
AWSUS#RCbBZjbbCdZQryicWbmHXQ==,0,0,38,0,0,0,0,132
AWSUS#R98ayFfVoEoDlu20nl4IVA==,0,0,0,0,0,0,0,5
AWSUS#43WhOjUSfFkdFnZs43TMkQ==,0,0,0,0,0,0,0,2786
AWSUS#NFPTdWQCYWUAlpU2bI7iEg==,0,0,30,0,0,0,0,411
AWSUS#ua6vWlzNwNqp+VejJcAEuQ==,0,0,4,0,0,0,0,4074
AWSUS#q7Is0BBDptUtzVFa+Rzo7Q==,0,0,2,0,0,0,0,696
AWSUS#6J4gxcl2XUVDy+Oel1CWtA==,0,0,3168,0,0,0,0,15
AWSUS#0/lU/jB+6m4AuAPt37pRxw==,0,0,2,0,0,0,0,267
AWSUS#wfIZ0c4ZlvawhUD/Go8sSw==,0,0,0,0,0,0,0,2986
AWSUS#+Rv3Cj/eSrCX92sLoS7haQ==,0,0,6,0,0,0,0,197
AWSUS#kxtzIGxMacG1EU69TVGiHQ==,0,0,0,0,0,0,0,152
AWSUS#MWAZNpbPzgkwnALvL8gqZQ==,0,0,0,0,0,0,0,28
AWSUS#a0PRc8oEhpoUdh5rY8OLcg==,0,0,2,0,0,0,0,363
AWSUS#gXRssVRAaQGLRF6fQYlKYw==,0,0,4,0,0,0,0,3523
AWSUS#rp9wRpGJZI+LafjE39qhtA==,0,0,0,0,0,0,0,456
AWSUS#thydmGFukVMcsA/8WcvzFw==,0,0,0,0,0,0,0,3594
AWSUS#kGkcpWZeXcCwSoXluABCng==,0,0,16,0,0,0,0,532
AWSUS#pBpolaMyzNIiL6qkArHf0A==,0,0,6,0,0,0,0,948
AWSUS#dhMSX/MyJGe4YhlI1YD20A==,0,0,0,0,0,0,0,15
AWSUS#DcP2yKsh8UenmkNHnGc86w==,0,3,728,0,2,0,6,4074
AWSUS#MI0qXnFsucxIYrEQoGWgtg==,0,0,7,0,0,0,0,963
AWSUS#09De4qsaYLovAGn1OkJ69g==,0,0,2,0,0,0,0,66
AWSUS#L12qSBrm1bJ5d5gyADzJ8w==,0,0,0,0,0,0,0,159
AWSUS#nXrxjpOxjq987/VR/FRSig==,0,0,1,0,0,0,0,1247
AWSUS#uL1y8QRNhODHEhL6/YiO6w==,11,1,131,0,0,40,2,525
AWSUS#eLpbUl22BTB54SLZ0A77nw==,0,0,2,0,0,0,0,1259
AWSUS#puDwPN3/c6oxoVNeNJNDug==,0,0,99,0,0,0,0,231
AWSUS#Tf43ASXbL+HH+TOtLMm6+w==,8,0,34,32,0,8,0,733
AWSUS#FBlFxGTFTYmHrK8biohbFQ==,0,0,1,0,0,0,0,4074
AWSUS#a9k2XtGIjTEs2tTtWJW/9A==,3,0,91,0,0,6,0,537
AWSUS#I2gxOk3i8eRyyihvDTUeyA==,0,0,2,0,0,0,0,198
AWSUS#CVIubv2c8XWYsK792uQuvg==,0,0,22,0,0,0,0,3413
AWSUS#FUyblsLo7OZcpqJW1LHeuQ==,0,0,99,0,0,0,0,71
AWSUS#UctNC0Z2NfTVRPfesuPlOg==,0,1,72,0,0,0,1,4074
AWSUS#+vHop3Pamrpg2JW0YZcLgg==,0,0,41,0,0,0,0,2654
AWSUS#xi7YldVmxPYOsNOW6UVA5Q==,0,0,0,0,0,0,0,2633
AWSUS#7W0NIVrEkPzkbcwrpEBkLw==,0,0,93,0,0,0,0,168
AWSUS#uqPQH4g/sniqp3QzFA7Pww==,0,0,47,0,0,0,0,169
AWSUS#MBu+ROC6T6MDCjNRM0eveA==,15,1,108,11,0,104,3,190
AWSUS#cg75Z6+ZQxmveOrnJ9liyw==,0,0,73,0,0,0,0,274
AWSUS#zmpLD2Wn6z8ex4LN2Mtq5A==,0,0,1,0,0,0,0,4074
AWSUS#8xkNDpZ2+m08k/kZSJ4Mxw==,0,0,0,0,0,0,0,7
AWSUS#z9pMHQIg0TliS0Wqb01G6w==,0,0,55,0,0,0,0,270
AWSUS#msIC6PAstunVPBVOOmBbMA==,6,0,165,12,0,18,0,55
AWSUS#68nQZLtrEcxGs54321ehBA==,0,0,5,0,0,0,0,680
AWSUS#UcEn3RMqabN6k0hcdSrKDQ==,0,0,108,0,0,0,0,1259
AWSUS#HSWMI11T88AM2TqSi5xW2g==,0,0,15,0,0,0,0,139
AWSUS#xu54pcqKTBmmOx8uHqUcLA==,0,0,0,0,0,0,0,37
AWSUS#Ts9vUlQtJwvdDi2Ym/TrTA==,0,0,35,0,0,0,0,587
AWSUS#yUBA0CiT1ZzKw+8qGhm+KA==,0,0,136,0,0,0,0,350
AWSUS#HyKyPmbNK3Jh37mfxDA0Lg==,0,0,22,0,0,0,0,380
AWSUS#6stDe6NC6IW+yLz7swHZCw==,0,0,252,0,0,0,0,69
AWSUS#LUUE76TZmQyfw4Qg6jBRIA==,0,0,0,0,0,0,0,122
AWSUS#3keIrbPMNPg3fbNDIarwkA==,0,1,63,0,0,0,2,3876
AWSUS#am3hQK6zLN/MnuCyT7k08g==,10,1,233,0,3,80,3,339
AWSUS#1s4N1+F1rL1f4Z12vSYcsw==,0,0,3,0,0,0,0,467
AWSUS#QhAj6RHhKtevAnvDOFxpsg==,0,0,54,0,0,0,1,888
AWSUS#ydMFQqgWrb0wY0iMDUjC4g==,0,0,0,0,0,0,0,2566
AWSUS#z0+/U6w2/xyNwIfMOFn7Ew==,0,0,3,0,0,0,0,3679
AWSUS#R9NXsYSCv8ImJquz+twX+Q==,0,0,0,0,0,0,0,2474
AWSUS#8nIzxEEiE3vWqAUCQ7c6KQ==,0,0,58,0,0,0,0,43
AWSUS#iXYBK94sL3HuiVy62kuKPQ==,0,0,0,0,0,0,0,692
AWSUS#Lb9rnXMBXFVsjYNpR+85zA==,0,2,26,0,0,0,5,4074
AWSUS#RjNaUfRy4JVoMBqq8KqwYw==,0,0,0,0,0,0,0,4074
AWSUS#Qe3P3xPPXT+MuGhpeAXv8Q==,22,1,31,110,0,264,2,234
AWSUS#3oNVqFSPZfnq7+fT+JRN3g==,0,1,2,0,0,0,5,3245
AWSUS#klgIaXycukU/IxVUk7mRxA==,0,0,139,0,0,0,0,434
AWSUS#qVFJf9eju6+moshl0C/w8w==,0,0,0,0,0,0,0,434
AWSUS#0Ec9xRWkeZzgRVJkuZb3AA==,5,1,13,0,1,20,2,3581
AWSUS#wdZehn1G2mJURtG+FVyYQA==,0,0,2,0,0,0,0,3642
AWSUS#ha3baGnim9jv2CZHZp0dJw==,0,0,4,0,0,0,0,3679
AWSUS#OBj79MAYiEirO9dYuRQClw==,0,0,0,0,0,0,0,392
AWSUS#UaGBlkm93MNOdHenAUtCVg==,0,0,30,0,0,0,0,391
AWSUS#xebk1qbAgiSxznfQ/TxiTA==,0,0,0,0,0,0,0,3536
AWSUS#9r0RqXXA7j0Xbc4TQdLmgA==,0,0,2,0,0,0,0,2635
AWSUS#cvmvT6621LEGJRzfG7G+hg==,0,0,6,0,0,0,0,6
AWSUS#tJOgdtR99z2F8+jF1JbndA==,0,0,2,0,0,0,0,6
AWSUS#waw4jTflp9mtJNMjOyxDdA==,0,0,14,0,0,0,0,41
AWSUS#JdZqi2KEWdWY82tXZPgDXA==,0,0,8,0,0,0,3,4074
AWSUS#tREcyIz2UGHngOM5esIX1Q==,0,0,45,0,0,0,0,21
AWSUS#tlAbwXAeOB1GEjx6/8nMSw==,0,0,111,0,0,0,0,1121
AWSUS#pEcKoLDYJ1kl4UEb/vws2g==,39,0,149,82,0,71,0,3437
AWSUS#juEQCkROz1sT3JtzTFCVqw==,0,0,14,0,0,0,0,3063
AWSUS#RPl2JtA2N/tPOwkmVbDxeQ==,0,0,2,0,0,0,0,188
AWSUS#lYrzgve2RkQqzNXGYk9dnA==,0,0,21,0,0,0,0,886
AWSUS#eIpJpB2OCg1XEnlV+byvcA==,0,0,1,0,0,0,0,3494
AWSUS#mXWuNz1U7Jnw96cb8mGhZg==,44,0,235,3,0,35,0,340
AWSUS#UvQYoF8WCgdz8ftmEfy43Q==,0,0,2,0,0,0,0,193
AWSUS#VO3KYxx2bN1xIAYt2nMJ7Q==,0,0,0,0,0,0,0,826
AWSUS#oSvkkiqrP+xRe/yKN09NqQ==,0,0,2,0,0,0,0,709
AWSUS#ioBmRtjvezUThkJQCmkXSQ==,0,0,1,0,0,0,0,10
AWSUS#Qe0w3wXslavakaRSqgV4Mg==,0,0,20,0,0,0,0,3560
AWSUS#zsTuEL4dVQDnxFUu0b86YQ==,0,0,594,0,0,0,0,4074
AWSUS#mq2+245hhS7GJBTdZLbUcA==,0,1,114,0,4,0,5,3704
AWSUS#RP3NBqNpWMnf16myeHE4Hg==,0,0,19,0,0,0,0,3038
AWSUS#0auHr1KWdXVPSxR2bxOg9g==,0,0,0,0,0,0,0,210
AWSUS#Ceid+xBIX/DXSyIMBmG17Q==,0,0,203,0,0,0,0,4074
AWSUS#NEy2wwaI1PU51DakbWb7dw==,15,0,964,10,0,36,0,441
AWSUS#SD+u8K7ombPeDjD1iaxwTw==,0,0,27,0,0,0,0,855
AWSUS#OIWfNKOHR95HbSdB4bBaMg==,0,0,13,0,0,0,0,313
AWSUS#HFSFvfc8JMvgfRqsFwzkWQ==,0,0,0,0,0,0,0,259
AWSUS#uYdFmo/tIt0ZOtniH5lnqA==,0,0,5,0,0,0,0,1287
AWSUS#K7BPorJXKqC7p6gNJkgQPQ==,20,0,5,0,0,95,1,3906
AWSUS#jVYjSCQTrip/SYj4K3jEJQ==,0,0,112,0,0,0,0,78
AWSUS#gtzGOk37iLuyA8SC0owLZA==,0,0,20,0,0,0,0,365
AWSUS#9ZJ1ZWhuQIzyOWu5RJdLHw==,12,0,167,0,0,96,0,412
AWSUS#Kmmagr3tMnkz1h8/PtISbQ==,5,1,15,0,0,15,3,4074
AWSUS#tS1ZrfohDdwkTMbUkr0JAg==,0,1,8,0,0,0,7,3598
AWSUS#VYC/DiSTcwgtb/DIsmayqA==,0,0,22,0,0,0,0,3843
AWSUS#aYxrMyLHKQly5HbsAbykuQ==,0,0,0,0,0,0,0,846
AWSUS#Sb0PIIz6j96Um4SiGY9blw==,10,0,61,0,0,10,0,539
AWSUS#HIOE3tNz1crhzexJr7IwOg==,0,0,8,0,0,0,0,556
AWSUS#4on3muff55nMU2yUWgLxmg==,0,0,4,0,0,0,0,486
AWSUS#vNBQ/J0DkE7Art+57QnMcg==,0,0,0,0,0,0,0,2750
AWSUS#4lbLydmVCDz5ume39B/TYA==,0,0,0,0,0,0,0,935
AWSUS#wJS4VP7RxRPnWjKp+DNreQ==,0,0,109,0,0,0,0,4074
AWSUS#Z9ozztwe5zQVif3oX1bQcQ==,17,1,40,29,0,80,1,398
AWSUS#U+WvKQJQVf99Q7ZKEJMpuQ==,0,1,315,0,3,0,7,405
AWSUS#0HLSqi7SpJfl/v5/2vhX5A==,0,0,0,0,0,0,0,767
AWSUS#MV/vyfWpOzm74YpNTjglhg==,0,0,500,0,0,0,0,99
AWSUS#hohYI+5LjX1vBaknQU6BKw==,0,0,155,0,0,0,0,4074
AWSUS#TLtPu+kJNLFkmed6BSnrnA==,0,0,2,0,0,0,0,2886
AWSUS#qIACuu9Torvha5JWkHoLmA==,12,0,67,18,0,36,0,436
AWSUS#wxwz8oRIvufj0lcVXVYzrA==,0,0,0,0,0,0,0,2900
AWSUS#R2e+Y2r2M9Zw7Q0NGtg4qg==,0,0,1,0,0,0,0,3096
AWSUS#KA7NSgOWZdcUsyTlbPQkVg==,4,1,168,4,2,8,1,579
AWSUS#XaLs8Lt6gGsRcwAt/j72xQ==,0,0,69,0,0,0,0,797
AWSUS#npKr99iHbf68/aSYn8i/4A==,0,0,23,0,0,0,0,348
AWSUS#ubnJYJbo+xDs+xGm9QEsZA==,0,0,30,0,0,0,0,132
AWSUS#xyz5zzLPPTk/RnPu5w60Uw==,0,0,8,0,0,0,0,412
AWSUS#P0GPjS5kQqUojviwuXTKvQ==,0,0,0,0,0,0,0,2829
AWSUS#253TRYoBjFmYwPYY6IcYYA==,0,0,83,0,0,0,0,21
AWSUS#5gfUdqLUQGIm2MPcaiFfOg==,4,0,292,12,0,8,0,330
AWSUS#vjx4g82o277ANpCZBUTlUA==,0,0,51,0,0,0,0,538
AWSUS#7wSGmPaXp45cPhv3IGMhfQ==,0,0,18,0,0,0,0,957
AWSUS#U87/nAjOaoxR0WQhscROsA==,0,0,0,0,0,0,0,117
AWSUS#BBqsM4wiUkkFwAsRJdyAxg==,0,0,55,0,0,0,0,546
AWSUS#xOFI0pHHdrfFr5KgmForHw==,4,1,234,4,0,4,1,111
AWSUS#RX8EI+MF8v1obNFp6v4KFQ==,0,0,0,0,0,0,0,2531
AWSUS#+MlkYAVIfg0UqeDE+iIW4g==,0,0,19,0,0,0,0,27
AWSUS#HvSjgf/NmpJ+FQ5iYctBEg==,0,0,11,0,0,0,0,897
AWSUS#e7/ubPoKG7Ib2JDej5QApg==,0,0,0,0,0,0,0,139
AWSUS#xdSaTWlGEG58skb9bh9rpQ==,0,0,13,0,0,0,0,2786
AWSUS#NcNivy/ULw9jLGvo9CHuXA==,0,0,83,0,0,0,0,2954
AWSUS#FdfZvypQb84vCGPrL7XKHg==,0,0,1,0,0,0,0,511
AWSUS#1fzyxjuwgBAaXJUzrGzCeg==,0,0,0,0,0,0,0,171
AWSUS#oCO+oNj0KaIbZV2F15FJ0Q==,0,0,0,0,0,0,0,2955
AWSUS#IrvhyI+oRFAd7xEVGjxaHA==,0,0,58,0,0,0,0,85
AWSUS#V7jne13J5spBjE52bQjscQ==,0,0,62,0,0,0,0,698
AWSUS#L062eg7C1vKcDmAbHAks1g==,0,0,3,0,0,0,0,580
AWSUS#MCnIbJxv93GTc9QpqUcMWQ==,0,0,0,0,0,0,0,2545
AWSUS#jvcgfgY9V75hqGeLEWPeyQ==,0,0,11,0,0,0,0,3235
AWSUS#R9jya/NOpfm5vw9LquY2pg==,0,0,19,0,0,0,0,325
AWSUS#TnmprQVTpoaVBH/1MeG19A==,0,0,29,0,0,0,0,495
AWSUS#6fj8lLT8eAM0wsMCkYPtLA==,0,0,30,0,0,0,0,28
AWSUS#TBEokCGzzh3CprgF8/hOWw==,6,0,265,3,0,6,0,132
AWSUS#yiBxXeBRuvvsSeicEP90cQ==,0,0,0,0,0,0,0,262
AWSUS#xYlaO9fsVgGWzjBkGBL7DQ==,0,0,74,0,0,0,0,223
AWSUS#+qwFsU840vRjy0WHL1PCug==,0,0,46,0,0,0,0,4074
AWSUS#Xz2YCQOyZfM9ZdpWteqQ0g==,0,0,0,0,0,0,0,10
AWSUS#oRWxSz4ZsloEtEj+xCkwgw==,0,0,20,0,0,0,0,685
AWSUS#Md2KsFLt9gPqJkA4BSnjvA==,0,0,25,0,0,0,0,159
AWSUS#dilmsIt7yh8Lp+B97mreKg==,0,0,4,0,0,0,0,6
AWSUS#ziznl0Aapi9AMt2VrASk6w==,0,0,99,0,0,0,0,183
AWSUS#jwgVra55QXhU5LvKlQqXzg==,0,0,263,0,0,0,0,1231
AWSUS#KdBhJFgUVHi8Nc27G2eFjA==,8,0,36,8,0,24,0,3901
AWSUS#iHzeDxqzn3zOeowKKDqy7A==,0,0,195,0,0,0,0,313
AWSUS#7dqil+XCUcGndFe99Din2g==,0,5,36,0,5,0,17,4074
AWSUS#mW4PQ04ci4jVYuX2HmSLiQ==,0,0,3,0,0,0,0,599
AWSUS#r/vTrneiiQOkGFwsPqfdEA==,0,0,24,0,0,0,0,687
AWSUS#25LxIoK7ymJNzhMuTjin2A==,0,0,2,0,0,0,0,3457
AWSUS#JB9sOmljXsaUMlP3KudEKg==,0,0,53,0,0,0,0,344
AWSUS#A9oGNa5HAvOUJnnASkD9dg==,0,0,417,0,0,0,0,104
